"Kód obce";PSČ;"Doručovacia pošta";"platné od";"platné do"
525618;04973;Dedinky;2010-01-01;
506893;91953;Dechtice;2010-01-01;
502154;93585;Demandice;2010-01-01;
502189;93585;Demandice;2010-01-01;
502723;93585;Demandice;2010-01-01;
518263;96212;Detva-sídlisko;2010-01-01;
518379;96212;Detva-sídlisko;2010-01-01;
518662;96212;Detva-sídlisko;2010-01-01;
518824;96212;Detva-sídlisko;2010-01-01;
518921;96212;Detva-sídlisko;2010-01-01;
502162;93504;Devičany;2010-01-01;
503711;92581;Diakovce;2010-01-01;
513954;97224;"Diviacka Nová Ves";2010-01-01;
513962;97225;"Diviaky nad Nitricou";2010-01-01;
511358;98552;Divín;2010-01-01;
511838;98552;Divín;2010-01-01;
517488;01331;Divina;2010-01-01;
517496;01331;Divina;2010-01-01;
509639;02755;"Dlhá nad Oravou";2010-01-01;
509698;02755;"Dlhá nad Oravou";2010-01-01;
509761;02755;"Dlhá nad Oravou";2010-01-01;
510041;02755;"Dlhá nad Oravou";2010-01-01;
525537;04955;"Dlhá Ves";2010-01-01;
525626;04955;"Dlhá Ves";2010-01-01;
525821;04955;"Dlhá Ves";2010-01-01;
520161;06782;"Dlhé nad Cirochou";2010-01-01;
520497;06782;"Dlhé nad Cirochou";2010-01-01;
517500;01332;"Dlhé Pole";2010-01-01;
518000;01332;"Dlhé Pole";2010-01-01;
518166;96261;"Dobrá Niva";2010-01-01;
518174;96261;"Dobrá Niva";2010-01-01;
518191;96261;"Dobrá Niva";2010-01-01;
518298;96261;"Dobrá Niva";2010-01-01;
518361;96261;"Dobrá Niva";2010-01-01;
518654;96261;"Dobrá Niva";2010-01-01;
518671;96261;"Dobrá Niva";2010-01-01;
518697;96261;"Dobrá Niva";2010-01-01;
506915;91954;"Dobrá Voda pri Trnave";2010-01-01;
525634;04925;Dobšiná;2010-01-01;
526291;04971;"Dobšinská Ľadová Jaskyňa";2010-01-01;
512940;02051;Dohňany;2010-01-01;
504335;90602;Dojč;2010-01-01;
507873;90088;"Doľany pri Častej";2010-01-01;
506923;91965;"Dolná Krupá";2010-01-01;
507041;91965;"Dolná Krupá";2010-01-01;
507059;91965;"Dolná Krupá";2010-01-01;
507351;91965;"Dolná Krupá";2010-01-01;
512966;01802;"Dolná Mariková";2010-01-01;
557510;01802;"Dolná Mariková";2010-01-01;
557552;01802;"Dolná Mariková";2010-01-01;
502171;93531;"Dolná Seč";2010-01-01;
502260;93531;"Dolná Seč";2010-01-01;
502952;93531;"Dolná Seč";2010-01-01;
555789;92563;"Dolná Streda";2010-01-01;
515965;99102;"Dolná Strehová";2010-01-01;
516015;99102;"Dolná Strehová";2010-01-01;
516163;99102;"Dolná Strehová";2010-01-01;
516392;99102;"Dolná Strehová";2010-01-01;
516511;99102;"Dolná Strehová";2010-01-01;
505943;91332;"Dolná Súča";2010-01-01;
506044;91332;"Dolná Súča";2010-01-01;
