St. šk.,Obec,Stredná škola,Ulica
893463,Bratislava-Ružinov,Stredná odborná škola obchodu a služieb Samuela Jurkoviča,Sklenárova 1
17053871,Bratislava-Ružinov,Stredná odborná škola kaderníctva a vizážistiky,Svätoplukova 2
31792952,Bratislava-Ružinov,Súkromná škola umeleckého priemyslu Bohumila Baču,Ivanská cesta 21
17327652,Bratislava-Ružinov,Obchodná akadémia,Nevädzová 3
30775311,Bratislava-Ružinov,Stredná priemyselná škola dopravná,Kvačalova 20
17314909,Bratislava-Ružinov,Škola umeleckého priemyslu,Sklenárova 7
30805473,Bratislava-Vrakuňa,Súkromné gymnázium,Vážska 32
52413250,Bratislava-Podunajské Biskupice,Súkromná stredná športová škola Gaudeamus,Dudvážska 6
17337097,Bratislava-Podunajské Biskupice,Gymnázium Federica Garcíu Lorcu,Hronská 3
30795290,Bratislava-Podunajské Biskupice,Súkromná stredná odborná škola - Gastroškola,Bieloruská 1
710213530,Bratislava-Podunajské Biskupice,Súkromná obchodná akadémia Profi - Kamo,Dudvážska 6
31787517,Bratislava-Podunajské Biskupice,Súkromná hotelová akadémia HaGMa,Biskupická 21
710212674,Bratislava-Podunajské Biskupice,Súkromné gymnázium Galileo School,Dudvážska 6
36060674,Bratislava-Podunajské Biskupice,Súkromná stredná odborná škola pedagogická,Bieloruská 1
51950766,Bratislava-Nové Mesto,Súkromné gymnázium (KSI),Trnavská cesta 3421/39
42268877,Bratislava-Nové Mesto,Súkromná stredná športová škola EISB,Radničné námestie 4
30792975,Bratislava-Nové Mesto,Súkromná stredná odborná škola HOST,Riazanská 75
710159986,Bratislava-Nové Mesto,Škola pre mimoriadne nadané deti a Gymnázium,Teplická  (Skalická ) 7 (1)
17314895,Bratislava-Nové Mesto,Stredná odborná škola beauty služieb,Račianska 105
894915,Bratislava-Nové Mesto,Stredná odborná škola polygrafická,Račianska 190
31780466,Bratislava-Nové Mesto,Hotelová akadémia,Mikovíniho 1
30775418,Bratislava-Nové Mesto,Obchodná akadémia,Račianska 107
30858321,Bratislava-Nové Mesto,Súkromné gymnázium,Česká 10
710231156,Bratislava-Rača,Spojená škola de La Salle-Gymnázium školských bratov,Čachtická 14
17337071,Bratislava-Rača,Gymnázium,Hubeného 23
893471,Bratislava-Rača,Stredná odborná škola hotelových služieb a obchodu,Na pántoch 9
17055415,Bratislava-Rača,Stredná odborná škola informačných technológií,Hlinícka 1
30775400,Bratislava-Rača,Stredná odborná škola masmediálnych a informačných štúdií,Kadnárova 7
893161,Bratislava-Vajnory,Stredná odborná škola elektrotechnická,Rybničná 59
710227442,Bratislava-Dúbravka,Spojená škola súkromná British International School-Gymnázium,Pekníkova 6
30865425,Bratislava-Dúbravka,Súkromné konzervatórium ALKANA,Batkova 2
17319161,Bratislava-Dúbravka,Stredná priemyselná škola elektrotechnická,Karola Adlera 5
605751,Bratislava-Dúbravka,Gymnázium,Bilíkova 24
30775361,Bratislava-Dúbravka,Stredná odborná škola pedagogická,Bullova 2
30804825,Bratislava-Dúbravka,Súkromná stredná odborná škola veterinárna,Pod brehmi 6/A
710262450,Bratislava-Karlova Ves,Spojená škola-Obchodná akadémia pre žiakov s telesným postihnutím,Mokrohájska cesta 3
42363501,Bratislava-Karlova Ves,Súkromné gymnázium pre žiakov so všeobecným intelektovým nadaním CENADA,Majerníkova 60
30797969,Bratislava-Karlova Ves,Súkromné gymnázium ESPRIT,Majerníkova 62
710228031,Bratislava-Karlova Ves,Spojená škola sv. Františka z Assisi-Gymnázium sv. Františka z Assisi,Karloveská 32
710229240,Bratislava-Karlova Ves,Stredná odborná škola pre žiakov s telesným postihnutím,Mokrohájska cesta 1
710145594,Bratislava-Karlova Ves,Spojená škola-Gymnázium pre žiakov s telesným postihnutím,Mokrohájska cesta 3
710147663,Bratislava-Karlova Ves,Spojená škola-Gymnázium,Tilgnerova 14
17337054,Bratislava-Karlova Ves,Gymnázium,Ladislava Sáru 1
30775329,Bratislava-Karlova Ves,Škola umeleckého priemyslu Josefa Vydru,Dúbravská cesta 11
891657,Bratislava-Devínska Nová Ves,Súkromná stredná odborná škola automobilová Duálna akadémia,Jána Jonáša 5
710276664,Bratislava-Petržalka,Spojená škola-Gymnázium,Pankúchova 6
710276613,Bratislava-Petržalka,Spojená škola súkromná francúzsko-slovenská-Súkromné gymnázium francúzsko-slovenské,M. C. Sklodowskej 1
53507339,Bratislava-Petržalka,Súkromné gymnázium FELIX,Krásnohorská 14
42254647,Bratislava-Petržalka,Súkromná stredná odborná škola ochrany osôb a majetku,Vranovská 4
42182760,Bratislava-Petržalka,Súkromná stredná športová škola,M. C. Sklodowskej 1
31801722,Bratislava-Petržalka,Súkromné bulharské gymnázium Christa Boteva,Záporožská 8
30775426,Bratislava-Petržalka,Obchodná akadémia Imricha Karvaša,Hrobákova 11
17327717,Bratislava-Petržalka,Stredná odborná škola podnikania,Strečnianska 20
30849934,Bratislava-Petržalka,Súkromná stredná odborná škola Johannes Senio Service,Jungmannova 10
30848008,Bratislava-Petržalka,Bilingválne gymnázium C. S. Lewisa,Haanova 28
36070793,Bratislava-Petržalka,Súkromná obchodná akadémia,Kremnická 26
710228295,Bratislava-Petržalka,Spojená škola Svätej Rodiny-Gymnázium Svätej Rodiny,Gercenova 10
31744265,Bratislava-Petržalka,Súkromné gymnázium,Kremnická 26
30843201,Bratislava-Petržalka,Súkromné gymnázium MERCURY,Zadunajská cesta 27
